Date	Tue Jul 15 13:28:36 2025

%Alcons (S)	2.95
%Alcons (L)	3.76
Bass Ratio	1.04
T Low	0.46
T Mid	0.44
CIS	0.00

	
STI	0.00
STIPA(IR)	0.00
EQ	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Noise	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

Filter	Band	RT60	EDT	D/R	C10	C35	C50	C80
		0.46	0.40	9.54	5.81	9.51	11.67	15.15
Oct	16Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	32Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	63Hz	0.47	0.44	9.54	-5.20	-1.38	3.10	10.10
Oct	125Hz	0.52	0.51	9.55	-0.61	4.06	8.72	13.57
Oct	250Hz	0.40	0.52	9.55	-3.25	2.72	4.97	9.80
Oct	500Hz	0.34	0.47	9.54	3.44	6.70	9.86	17.21
Oct	1kHz	0.54	0.41	9.55	3.69	7.36	11.15	17.14
Oct	2kHz	0.49	0.39	9.55	2.93	8.04	10.62	16.02
Oct	4kHz	0.67	0.38	9.55	3.74	8.39	11.17	15.11
Oct	8kHz	0.33	0.32	9.55	5.32	9.88	13.24	18.64
Oct	16kHz	0.51	0.38	9.55	7.24	10.77	12.63	15.16
1/3	13Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	16Hz	1.08	6.14	9.54	-12.46	-7.97	-6.94	-4.44
1/3	20Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	25Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	32Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	40Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	50Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	63Hz	0.52	0.29	9.54	-1.97	6.54	9.57	12.25
1/3	80Hz	1.67	0.40	9.54	-6.35	2.03	5.71	10.83
1/3	100Hz	0.63	0.34	9.55	-3.45	4.73	8.12	11.05
1/3	125Hz	0.43	0.46	9.54	-0.03	3.81	7.43	14.68
1/3	160Hz	0.53	0.23	9.55	2.73	9.16	12.19	16.69
1/3	200Hz	0.31	0.43	9.55	-4.76	2.95	5.44	12.88
1/3	250Hz	0.59	0.58	9.55	-5.79	1.04	2.54	7.82
1/3	315Hz	0.41	0.60	9.55	0.45	3.19	4.31	12.89
1/3	400Hz	0.44	0.25	9.54	1.45	9.91	11.62	14.76
1/3	500Hz	0.29	0.53	9.55	1.76	4.82	9.11	16.96
1/3	630Hz	0.36	0.46	9.54	2.78	5.52	8.90	17.43
1/3	800Hz	0.31	0.43	9.55	4.54	6.56	10.70	18.14
1/3	1kHz	0.28	0.16	9.55	6.06	12.27	15.27	22.46
1/3	1.3kHz	0.34	0.54	9.55	3.09	6.18	9.81	15.34
1/3	1.6kHz	0.32	0.28	9.57	4.14	10.26	12.38	18.28
1/3	2kHz	0.31	0.47	9.55	1.69	6.02	8.93	16.46
1/3	2.5kHz	0.40	0.37	9.55	1.90	7.65	9.97	14.32
1/3	3.2kHz	0.36	0.35	9.55	3.31	8.31	11.92	16.72
1/3	4kHz	0.37	0.33	9.54	5.63	9.70	12.76	17.34
1/3	5kHz	0.48	0.43	9.54	3.73	8.10	10.35	14.00
1/3	6.3kHz	0.34	0.32	9.54	4.73	9.85	12.90	18.49
1/3	8kHz	0.34	0.26	9.54	6.11	10.80	14.34	19.03
1/3	10kHz	0.32	0.34	9.55	4.65	8.89	12.31	18.19
1/3	12.5kHz	0.29	0.29	9.54	7.17	12.04	16.26	21.95
1/3	16kHz	0.59	0.45	9.55	5.38	8.93	10.56	13.45
1/3	20kHz	0.21	0.10	9.55	9.10	15.48	19.99	29.24
